verse,loc
"This you know, my beloved brethren. But everyone must be quick to hear, slow to speak and slow to anger; for the anger of man does not achieve the righteousness of God. Therefore, putting aside all filthiness and all that remains of wickedness, in humility receive the word implanted, which is able to save your souls. ",James 1:19-21
"The LORD God fashioned into a woman the rib which He had taken from the man, and brought her to the man. The man said, “This is now bone of my bones, And flesh of my flesh; She shall be called Woman, Because she was taken out of Man.” For this reason a man shall leave his father and his mother, and be joined to his wife; and they shall become one flesh. ",Genesis 2:22-24
"You are the light of the world. A city set on a hill cannot be hidden; nor does anyone light a lamp and put it under a basket, but on the lampstand, and it gives light to all who are in the house. Let your light shine before men in such a way that they may see your good works, and glorify your Father who is in heaven.",Matthew 5:14-16
"How blessed is the man who does not walk in the counsel of the wicked, nor stand in the path of sinners, nor sit in the seat of scoffers! But his delight is in the law of the LORD, and in His law he meditates day and night. He will be like a tree firmly planted by streams of water, which yields its fruit in its season and its leaf does not wither; and in whatever he does, he prospers.",Psalm 1:1-3
"Flee immorality. Every other sin that a man commits is outside the body, but the immoral man sins against his own body. Or do you not know that your body is a temple of the Holy Spirit who is in you, whom you have from God, and that you are not your own? For you have been bought with a price: therefore glorify God in your body.",1 Corinthians 6:18-20
"Whether, then, you eat or drink or whatever you do, do all to the glory of God.",1 Corinthians 10:31
"But do not let this one fact escape your notice, beloved, that with the Lord one day is like a thousand years, and a thousand years like one day. The Lord is not slow about His promise, as some count slowness, but is patient toward you, not wishing for any to perish but for all to come to repentance.",2 Peter 3:8-9
"Love is patient, love is kind and is not jealous; love does not brag and is not arrogant, does not act unbecomingly; it does not seek its own, is not provoked, does not take into account a wrong suffered, does not rejoice in unrighteousness, but rejoices with the truth; bears all things, believes all things, hopes all things, endures all things. Love never fails.",1 Corinthians 13:4-8
"Not everyone who says to Me, ""Lord, Lord,"" will enter the kingdom of heaven, but he who does the will of My Father who is in heaven will enter. Many will say to Me on that day, ""Lord, Lord, did we not prophesy in Your name, and in Your name cast out demons, and in Your name perform many miracles?"" And then I will declare to them, ""I never knew you; depart from Me, you who practice lawlessness.""",Matthew 7:21-23
"But Joseph said to them, ""Do not be afraid, for am I in God's place? As for you, you meant evil against me, but God meant it for good in order to bring about this present result, to preserve many people alive."" ",Genesis 50:19-20
"Simon Peter answered, ""You are the Christ, the Son of the living God."" And Jesus said to him, ""Blessed are you, Simon Barjona, because flesh and blood did not reveal this to you, but My Father who is in heaven. I also say to you that you are Peter, and upon this rock I will build My church, and the gates of Hades will not overpower it.""",Matthew 16:16-18
"For you are all sons of God through faith in Christ Jesus. For all of you who were baptized into Christ have clothed yourselves with Christ. There is neither Jew nor Greek, there is neither slave nor free man, there is neither male nor female; for you are all one in Christ Jesus. ",Galatians 3:26-28
"Let us not lose heart in doing good, for in due time we will reap if we do not grow weary. So then, while we have opportunity, let us do good to all people, and especially to those who are of the household of faith. ",Galatians 6:9-10
"And everyone who has left houses or brothers or sisters or father or mother or children or farms for My name's sake, will receive many times as much, and will inherit eternal life. But many who are first will be last; and the last, first. ",Matthew 19:29-30
" I said, “I beseech You, O LORD God of heaven, the great and awesome God, who preserves the covenant and lovingkindness for those who love Him and keep His commandments, let Your ear now be attentive and Your eyes open to hear the prayer of Your servant which I am praying before You now, day and night, on behalf of the sons of Israel Your servants, confessing the sins of the sons of Israel which we have sinned against You; I and my father’s house have sinned. ",Nehemiah 1:5-6
"Therefore, my beloved brethren, be steadfast, immovable, always abounding in the work of the Lord, knowing that your toil is not in vain in the Lord.",1 Corinthians 15:58 
"Be on the alert, stand firm in the faith, act like men, be strong. Let all that you do be done in love. ",1 Corinthians 16:13-14
"Now to Him who is able to keep you from stumbling, and to make you stand in the presence of His glory blameless with great joy, to the only God our Savior, through Jesus Christ our Lord, be glory, majesty, dominion, and authority, before all time and now and forever. Amen. ",Jude 1:24-25
"One thing I have asked from the LORD, that I shall seek: that I may dwell in the house of the LORD all the days of my life, to behold the beauty of the LORD and to meditate in His temple. ",Psalm 27:4
"But in case I am delayed, I write so that you will know how one ought to conduct himself in the household of God, which is the church of the living God, the pillar and support of the truth. ",1 Timothy 3:15 
"Answering them, He said, ""Who are My mother and My brothers?"" Looking about at those who were sitting around Him, He said, ""Behold My mother and My brothers! For whoever does the will of God, he is My brother and sister and mother.""",Mark 3:33-35
"For the Lord Himself will descend from heaven with a shout, with the voice of the archangel and with the trumpet of God, and the dead in Christ will rise first. Then we who are alive and remain will be caught up together with them in the clouds to meet the Lord in the air, and so we shall always be with the Lord. Therefore comfort one another with these words. ",1 Thessalonians 4:16-18
"But it is not this way among you, but whoever wishes to become great among you shall be your servant; and whoever wishes to be first among you shall be slave of all. For even the Son of Man did not come to be served, but to serve, and to give His life a ransom for many.",Mark 10:43-45
"The conclusion, when all has been heard, is fear God and keep His commandments, because this applies to every person. For God will bring every act to judgment, everything which is hidden, whether it is good or evil. ",Ecclesiastes 12:13-14
"For wisdom is better than jewels; and all desirable things cannot compare with her. I, wisdom, dwell with prudence, and I find knowledge and discretion. The fear of the Lord is to hate evil; pride and arrogance and the evil way and the perverted mouth, I hate. ",Proverbs 8:11-13
"And Jesus uttered a loud cry, and He breathed His last. And the veil of the temple was torn in two from top to bottom. When the centurion, who was standing right in front of Him, saw the way He breathed His last, he said, ""Truly this man was the Son of God!""",Mark 15:37-39